fig8_f001_c0005 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.134s; cached=False
fig8_f001_c0005 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.141s; cached=False
fig8_f001_c0005 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.133s; cached=False
fig8_f001_c0005 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.154s; cached=False
fig8_f001_c0005 M=1e+09: numerical_failure; SF=None; quench=None; 0.158s; cached=False
fig8_f001_c0005 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.159s; cached=False
fig8_f001_c0005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.187s; cached=False
fig8_f001_c0005 M=3.16e+09: not_launched_within_window; SF=None; quench=None; 0.204s; cached=False
fig8_f001_c0005 M=4.64e+09: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig8_f001_c0005 M=6.81e+09: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
